Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP,PEP
Date,,,,,,
2023-03-01,153.8056182861328,171.3300018310547,172.4600067138672,169.1199951171875,172.32000732421875,5359100
2023-03-02,156.64349365234375,173.32000732421875,173.75999450683594,169.77999877929688,170.50999450683594,4476300
2023-03-03,156.4898223876953,173.14999389648438,173.4499969482422,171.3300018310547,173.0,3627100
2023-03-06,156.8061981201172,173.5,173.66000366210938,172.22000122070312,172.22000122070312,3611400
2023-03-07,156.0289306640625,172.63999938964844,174.25999450683594,171.8699951171875,173.6699981689453,4094900
2023-03-08,156.45372009277344,173.11000061035156,173.36000061035156,171.77999877929688,172.67999267578125,2920200
2023-03-09,155.2697296142578,171.8000030517578,174.36000061035156,171.1999969482422,173.6199951171875,4042100
2023-03-10,155.4775848388672,172.02999877929688,174.24000549316406,170.9600067138672,172.52999877929688,4129900
2023-03-13,156.99595642089844,173.7100067138672,177.22999572753906,172.61000061035156,172.75999450683594,8265100
2023-03-14,156.8332977294922,173.52999877929688,173.80999755859375,171.57000732421875,172.49000549316406,6480800
2023-03-15,159.635009765625,176.6300048828125,176.66000366210938,173.19000244140625,173.52999877929688,7099800
2023-03-16,159.5265350341797,176.50999450683594,177.0,175.32000732421875,176.61000061035156,4734400
2023-03-17,158.2793426513672,175.1300048828125,176.69000244140625,174.22999572753906,176.50999450683594,8854600
2023-03-20,160.50265502929688,177.58999633789062,177.67999267578125,175.50999450683594,176.5,4367000
2023-03-21,160.88221740722656,178.00999450683594,178.1699981689453,176.27999877929688,177.66000366210938,3812000
2023-03-22,159.5265350341797,176.50999450683594,179.3699951171875,176.4199981689453,177.83999633789062,4380800
2023-03-23,158.74929809570312,175.64999389648438,177.22000122070312,175.02000427246094,176.05999755859375,4655600
2023-03-24,161.85830688476562,179.08999633789062,179.33999633789062,176.38999938964844,176.52999877929688,3713800
2023-03-27,162.21983337402344,179.49000549316406,180.64999389648438,179.30999755859375,179.5800018310547,4078600
2023-03-28,162.1655731201172,179.42999267578125,180.4600067138672,179.3300018310547,179.3300018310547,2850000
2023-03-29,163.28627014160156,180.6699981689453,180.91000366210938,179.99000549316406,180.64999389648438,4496000
2023-03-30,163.43089294433594,180.8300018310547,181.3300018310547,180.0800018310547,181.0,2743000
2023-03-31,164.7594451904297,182.3000030517578,182.49000549316406,181.32000732421875,182.16000366210938,4479800
2023-04-03,164.94020080566406,182.5,182.75999450683594,180.39999389648438,181.89999389648438,3902300
2023-04-04,164.35276794433594,181.85000610351562,183.36000061035156,181.10000610351562,182.17999267578125,3306400
2023-04-05,165.9705352783203,183.63999938964844,184.9600067138672,183.05999755859375,183.25,3826300
2023-04-06,166.6212615966797,184.36000061035156,184.74000549316406,183.10000610351562,183.3000030517578,3389700
2023-04-10,165.57286071777344,183.1999969482422,183.89999389648438,181.69000244140625,183.8300018310547,2408100
2023-04-11,165.31979370117188,182.9199981689453,183.8800048828125,182.75999450683594,183.4199981689453,3586700
2023-04-12,164.99441528320312,182.55999755859375,183.77999877929688,182.25,182.69000244140625,3620900
2023-04-13,166.6393280029297,184.3800048828125,184.61000061035156,182.11000061035156,182.6199951171875,4303600
2023-04-14,165.85301208496094,183.50999450683594,184.02000427246094,182.9199981689453,183.33999633789062,2572900
2023-04-17,166.70260620117188,184.4499969482422,184.75,183.47999572753906,184.19000244140625,3224400
2023-04-18,167.04600524902344,184.8300018310547,185.22000122070312,183.74000549316406,184.77000427246094,2438600
2023-04-19,166.94659423828125,184.72000122070312,185.32000732421875,184.25999450683594,185.24000549316406,2209900
2023-04-20,167.49790954589844,185.3300018310547,186.0399932861328,184.1999969482422,184.83999633789062,3868200
2023-04-21,167.57020568847656,185.41000366210938,186.3800048828125,185.1300048828125,185.99000549316406,3781800
2023-04-24,167.65155029296875,185.5,186.57000732421875,185.02000427246094,186.5,3540200
2023-04-25,171.45648193359375,189.7100067138672,190.17999267578125,186.24000549316406,186.55999755859375,6231600
2023-04-26,170.39906311035156,188.5399932861328,189.4199981689453,187.8699951171875,188.47999572753906,4481700
2023-04-27,171.4384002685547,189.69000244140625,189.9499969482422,187.50999450683594,188.17999267578125,4574500
2023-04-28,172.52294921875,190.88999938964844,191.6199951171875,189.63999938964844,189.89999389648438,4608900
2023-05-01,173.23692321777344,191.67999267578125,192.3300018310547,190.27999877929688,190.4499969482422,3137800
2023-05-02,173.7520751953125,192.25,192.5,189.75,191.36000061035156,3712200
2023-05-03,173.68881225585938,192.17999267578125,193.25,191.77999877929688,192.5800018310547,3389600
2023-05-04,174.77337646484375,193.3800048828125,193.9499969482422,192.16000366210938,193.0800018310547,4267600
2023-05-05,175.5777130126953,194.27000427246094,194.47999572753906,192.38999938964844,192.82000732421875,4146500
2023-05-08,174.74623107910156,193.35000610351562,194.0,192.64999389648438,193.39999389648438,2249900
2023-05-09,175.46022033691406,194.13999938964844,194.6699981689453,192.7100067138672,193.86000061035156,3087600
2023-05-10,175.5777130126953,194.27000427246094,195.5800018310547,192.6699981689453,194.11000061035156,4352900
2023-05-11,176.54476928710938,195.33999633789062,195.52000427246094,193.0,194.27999877929688,3690200
2023-05-12,177.24974060058594,196.1199951171875,196.22000122070312,194.9499969482422,195.33999633789062,2741000
2023-05-15,175.5777130126953,194.27000427246094,196.8800048828125,194.0,196.57000732421875,2946400
2023-05-16,174.8185272216797,193.42999267578125,194.47999572753906,192.5399932861328,194.47999572753906,5803100
2023-05-17,173.5803680419922,192.05999755859375,193.58999633789062,190.83999633789062,193.30999755859375,4878800
2023-05-18,173.12847900390625,191.55999755859375,191.7100067138672,190.41000366210938,191.32000732421875,3709400
2023-05-19,173.38153076171875,191.83999633789062,192.86000061035156,191.10000610351562,192.4600067138672,3883000
2023-05-22,168.68186950683594,186.63999938964844,191.38999938964844,186.41000366210938,191.19000244140625,5787000
2023-05-23,168.16671752929688,186.07000732421875,186.6300048828125,184.58999633789062,186.49000549316406,6382300
2023-05-24,167.10023498535156,184.88999938964844,186.74000549316406,184.3699951171875,186.27000427246094,3721000
2023-05-25,166.1151123046875,183.8000030517578,184.22000122070312,181.9499969482422,182.6999969482422,4712700
2023-05-26,165.9163055419922,183.5800018310547,184.25,182.39999389648438,183.7100067138672,4449300
2023-05-30,164.13583374023438,181.61000061035156,183.08999633789062,180.6999969482422,182.05999755859375,4331800
2023-05-31,164.8046417236328,182.35000610351562,184.6199951171875,181.4600067138672,182.86000061035156,20414600
2023-06-01,165.81028747558594,182.19000244140625,182.69000244140625,180.8000030517578,182.4199981689453,5277400
2023-06-02,167.5121612548828,184.05999755859375,184.2899932861328,181.6999969482422,182.02000427246094,4288300
2023-06-05,167.6304931640625,184.19000244140625,186.1699981689453,183.61000061035156,183.85000610351562,4311700
2023-06-06,165.2369384765625,181.55999755859375,185.1199951171875,180.42999267578125,184.97999572753906,3975600
2023-06-07,163.91729736328125,180.11000061035156,181.74000549316406,179.6999969482422,180.7100067138672,5162700
2023-06-08,165.7283935546875,182.10000610351562,182.3000030517578,179.3300018310547,179.6999969482422,4036100
2023-06-09,165.95591735839844,182.35000610351562,182.8300018310547,181.0,181.7100067138672,3200100
2023-06-12,165.54635620117188,181.89999389648438,182.72999572753906,180.69000244140625,182.49000549316406,4207100
2023-06-13,165.21875,181.5399932861328,182.19000244140625,181.0800018310547,182.1300048828125,2838700
2023-06-14,166.70217895507812,183.1699981689453,183.64999389648438,181.44000244140625,182.0,3559300
2023-06-15,169.0138397216797,185.7100067138672,186.1699981689453,183.52000427246094,184.25999450683594,4326100
2023-06-16,169.3141632080078,186.0399932861328,187.58999633789062,185.6999969482422,186.13999938964844,8925700
2023-06-20,168.64976501464844,185.30999755859375,187.8699951171875,185.24000549316406,186.5399932861328,4154800
2023-06-21,168.75901794433594,185.42999267578125,186.8800048828125,184.19000244140625,185.72000122070312,3832400
2023-06-22,170.50637817382812,187.35000610351562,187.5800018310547,185.8699951171875,186.72999572753906,3185800
2023-06-23,169.3414764404297,186.07000732421875,188.0,185.9499969482422,188.0,7592600
2023-06-26,168.26754760742188,184.88999938964844,186.42999267578125,184.1199951171875,186.16000366210938,3706100
